red apples/nouns,description,set
A Fool & His Money,Are soon parted... especially on Wall Street.,"[Expansion Set 4, Party Expansion 1]"
Abbot & Costello,"Comedy team who had everyone guessing - ""Who's on first?""","[Expansion Set 4, Party Expansion 1]"
Adam & Eve,A relationship of Biblical proportions.,"[Expansion Set 4, Party Expansion 1]"
AM & FM,Making waves in radio.,"[Expansion Set 4, Party Expansion 1]"
Anna & The King,The 1999 film romanticizing the story of Anna Leonowens and King Mongkut of Siam.,"[Expansion Set 4, Party Expansion 1]"
Antony & Cleopatra,"Roman general and Egyptian queen. A love affair that wouldn't die. Oh, wait, it did.","[Expansion Set 4, Party Expansion 1]"
Apples & Oranges,Don't even TRY to compare them.,"[Expansion Set 4, Party Expansion 1]"
Arm & A Leg,"Sure, they were free, but just try replacing them.","[Expansion Set 4, Party Expansion 1]"
Arsenic & Old Lace,"The hilarious dark comedy written by Joseph Kesselring, or the 1944 film adaptation by Frank Capra.","[Expansion Set 4, Party Expansion 1]"
Assault & Battery,"That would be a single ""A"" battery.","[Expansion Set 4, Party Expansion 1]"
Ball & Chain,Don't let it get you down.,"[Expansion Set 4, Party Expansion 1]"
Barbie & Ken,"Ah, to be blond and plastic...","[Expansion Set 4, Party Expansion 1]"
Batman & Robin,"Superheroes or vigilantes, you make the call.","[Expansion Set 4, Party Expansion 1]"
Bats & Balls,At least they don't go on strike.,"[Expansion Set 4, Party Expansion 1]"
Beauty & The Beast,"A French fairy tale, animated by Disney in 1991.","[Expansion Set 4, Party Expansion 1]"
Beavis & Butt-Head,"He said ""butt."" Huh-huh. Huh-huh.","[Expansion Set 4, Party Expansion 1]"
Bed & Breakfast,Not the same as breakfast in bed.,"[Expansion Set 4, Party Expansion 1]"
Beer & Pretzels,"""these pretzels are making me thirsty"" - Cosmo Kramer, Seinfeld","[Expansion Set 4, Party Expansion 1]"
Being & Nothingness,Jean Paul Satre's 1943 work based on the distinction between things that exist by themselves and those that exist for themselves.,"[Expansion Set 4, Party Expansion 1]"
Bells & Whistles,It's got everything!,"[Expansion Set 4, Party Expansion 1]"
Bert & Ernie,Sesame Street's muppet buddies.,"[Expansion Set 4, Party Expansion 1]"
Bill & Ted,"Characters in Keanu Reeves' excellent time-travel adventure film. Yeah, dude.","[Expansion Set 4, Party Expansion 1]"
Blood & Tears,Don't forget the sweat.,"[Expansion Set 4, Party Expansion 1]"
Boardwalk & Park Place,Top of the line in the real estate game.,"[Expansion Set 4, Party Expansion 1]"
Body & Soul,Just tryin' to keep it all together.,"[Expansion Set 4, Party Expansion 1]"
Bonnie & Clyde,"American outlaws of the 1920s, played by Faye Dunaway and Warren Beatty in the 1967 film.","[Expansion Set 4, Party Expansion 1]"
Bow & Arrows,More effective than sticks and stones.,"[Expansion Set 4, Party Expansion 1]"
